id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.10071116,518100000205906,1950,Sloopvergunning verleend,woonfunctie,71,132,6,"POLYGON Z ((80056.49099999999 454688.198 0, 80060.276 454677.604 0, 80056.13499999999 454676.157 0, 80053.739 454675.32 0, 80052.69899999999 454674.957 0, 80051.334 454674.48 0, 80046.757 454672.88 0, 80044.395 454672.055 0, 80040.704 454682.644 0, 80043.946 454683.817 0, 80044.27 454683.095 0, 80046.141 454683.812 0, 80045.882 454684.432 0, 80047.481 454685.002 0, 80049.68799999999 454685.789 0, 80049.973 454685.106 0, 80050.728 454685.398 0, 80051.857 454685.834 0, 80051.598 454686.481 0, 80056.49099999999 454688.198 0))"
pand.10071117,518100000209739,1950,Sloopvergunning verleend,overige gebruiksfunctie,18,18,1,"POLYGON Z ((80039.89599999999 454690.568 0, 80041.446 454687.607 0, 80039.368 454686.501 0, 80035.92999999999 454684.672 0, 80034.33500000001 454687.686 0, 80039.89599999999 454690.568 0))"
pand.10071119,518100000211856,1950,Sloopvergunning verleend,woonfunctie,71,132,6,"POLYGON Z ((80055.734 454719.762 0, 80053.939 454718.808 0, 80054.35000000001 454718.175 0, 80052.289 454717.089 0, 80050.89999999999 454716.358 0, 80050.53999999999 454716.991 0, 80048.644 454716.011 0, 80049.01700000001 454715.353 0, 80044.09299999999 454712.747 0, 80038.72199999999 454722.679 0, 80044.965 454725.995 0, 80046.027 454726.559 0, 80047.208 454727.186 0, 80053.164 454730.349 0, 80058.459 454720.337 0, 80056.08199999999 454719.078 0, 80055.734 454719.762 0))"
pand.10071121,518100000214965,1950,Sloopvergunning verleend,overige gebruiksfunctie,18,18,1,"POLYGON Z ((80036.647 454696.775 0, 80031.111 454693.907 0, 80029.416 454697.156 0, 80034.947 454700.022 0, 80036.647 454696.775 0))"
pand.10071128,518100000230360,1950,Sloopvergunning verleend,overige gebruiksfunctie,18,18,1,"POLYGON Z ((80038.34600000001 454693.528 0, 80039.89599999999 454690.568 0, 80034.33500000001 454687.686 0, 80034.32399999999 454687.707 0, 80032.829 454690.615 0, 80038.34600000001 454693.528 0))"
pand.10071129,518100000231084,1950,Sloopvergunning verleend,woonfunctie,71,132,6,"POLYGON Z ((80104.558 454704.959 0, 80108.269 454694.375 0, 80101.389 454691.971 0, 80100.205 454691.557 0, 80099.02800000001 454691.146 0, 80091.91499999999 454688.66 0, 80088.269 454699.343 0, 80091.512 454700.498 0, 80091.81200000001 454699.752 0, 80093.84699999999 454700.532 0, 80093.587 454701.179 0, 80095.213 454701.761 0, 80097.192 454702.47 0, 80097.44 454701.735 0, 80099.42600000001 454702.427 0, 80099.19 454703.111 0, 80104.558 454704.959 0))"
pand.10071142,518100000283865,1950,Sloopvergunning verleend,woonfunctie,71,132,6,"POLYGON Z ((80072.17999999999 454693.688 0, 80075.997 454683.098 0, 80069.59699999999 454680.862 0, 80067.84699999999 454680.25 0, 80067.235 454680.036 0, 80060.276 454677.604 0, 80056.49099999999 454688.198 0, 80059.515 454689.26 0, 80059.788 454688.526 0, 80061.82399999999 454689.319 0, 80061.538 454689.978 0, 80063.048 454690.507 0, 80065.231 454691.271 0, 80065.542 454690.561 0, 80067.52800000001 454691.304 0, 80067.281 454691.963 0, 80072.17999999999 454693.688 0))"
pand.10071147,518100000286163,1950,Sloopvergunning verleend,woonfunctie,71,132,6,"POLYGON Z ((80070.886 454727.792 0, 80068.814 454726.696 0, 80069.22500000001 454726.013 0, 80067.511 454725.12 0, 80065.73699999999 454724.195 0, 80065.389 454724.866 0, 80063.632 454723.976 0, 80063.993 454723.267 0, 80058.459 454720.337 0, 80053.164 454730.349 0, 80059.83900000001 454733.894 0, 80061.133 454734.581 0, 80062.075 454735.081 0, 80068.39 454738.435 0, 80073.66899999999 454728.378 0, 80071.18399999999 454727.057 0, 80070.886 454727.792 0))"
pand.10071158,518100000320069,1950,Sloopvergunning verleend,overige gebruiksfunctie,18,18,1,"POLYGON Z ((80036.647 454696.775 0, 80038.34600000001 454693.528 0, 80032.829 454690.615 0, 80031.111 454693.907 0, 80036.647 454696.775 0))"
pand.10071166,518100000333278,1950,Sloopvergunning verleend,woonfunctie,71,169,6,"POLYGON Z ((80041.302 454712.055 0, 80039.507 454711.152 0, 80039.88 454710.506 0, 80038.065 454709.543 0, 80036.947 454708.949 0, 80036.50599999999 454708.715 0, 80036.171 454709.348 0, 80034.401 454708.458 0, 80034.724 454707.799 0, 80026.754 454703.61 0, 80026.64999999999 454703.808 0, 80021.541 454713.555 0, 80030.101 454718.101 0, 80031.239 454718.705 0, 80031.435 454718.809 0, 80032.325 454719.282 0, 80038.72199999999 454722.679 0, 80044.09299999999 454712.747 0, 80041.611 454711.434 0, 80041.302 454712.055 0))"
pand.10071168,518100000335832,1950,Sloopvergunning verleend,woonfunctie,71,132,6,"POLYGON Z ((80088.269 454699.343 0, 80091.91499999999 454688.66 0, 80085.505 454686.42 0, 80084.33199999999 454686.01 0, 80083.133 454685.591 0, 80075.997 454683.098 0, 80072.17999999999 454693.688 0, 80075.32399999999 454694.795 0, 80075.62300000001 454694.099 0, 80077.533 454694.802 0, 80077.272 454695.461 0, 80079.091 454696.135 0, 80081.17999999999 454696.908 0, 80081.466 454696.123 0, 80083.36199999999 454696.89 0, 80083.128 454697.511 0, 80088.269 454699.343 0))"
pand.4688017,518100000307206,1980,Sloopvergunning verleend,winkelfunctie,106,106,1,"POLYGON Z ((75025.447 454030.386 0, 75032.598 454024.25 0, 75029.455 454020.504 0, 75022.234 454026.582 0, 75025.447 454030.386 0))"
pand.9090115,599100000073923,1906,Sloopvergunning verleend,woonfunctie,59,59,1,"POLYGON Z ((88956.508 439774.978 0, 88960.818 439768.488 0, 88956.52 439765.61 0, 88952.11 439772.22 0, 88952.228 439772.3 0, 88949.071 439777.198 0, 88950.841 439778.339 0, 88953.97 439773.486 0, 88956.39999999999 439775.14 0, 88956.508 439774.978 0))"
pand.7373871,599100000271964,1890,Sloopvergunning verleend,woonfunctie,122,122,1,"POLYGON Z ((88229.71000000001 440866.01 0, 88240.75999999999 440850.29 0, 88241.60000000001 440850.87 0, 88243.36 440848.28 0, 88243.21000000001 440848.18 0, 88247.67999999999 440841.54 0, 88239.88 440836.11 0, 88235.25999999999 440842.89 0, 88237.27 440844.29 0, 88235.50999999999 440846.75 0, 88233.53999999999 440845.45 0, 88230.126 440850.408 0, 88222.55 440861.41 0, 88229.71000000001 440866.01 0))"
pand.2611561,518100000220610,1931,Sloopvergunning verleend,"winkelfunctie, woonfunctie",55,92,5,"POLYGON Z ((81575.09699999999 452132.663 0, 81569.53 452129.415 0, 81567.408 452128.227 0, 81569.10799999999 452125.208 0, 81566.784 452123.889 0, 81565.07000000001 452126.919 0, 81559.352 452123.717 0, 81554.808 452131.877 0, 81568.52099999999 452139.623 0, 81569.98699999999 452137.006 0, 81571.988 452138.15 0, 81572.145 452137.887 0, 81572.935 452138.328 0, 81575.614 452133.599 0, 81574.822 452133.15 0, 81575.09699999999 452132.663 0))"
pand.2611562,518100000220611,1931,Sloopvergunning verleend,"overige gebruiksfunctie, woonfunctie",13,97,3,"POLYGON Z ((81515.641 452109.757 0, 81520.31 452101.551 0, 81515.656 452098.92 0, 81513.91 452102.177 0, 81512.167 452101.178 0, 81510.314 452101.058 0, 81509.71000000001 452107.114 0, 81511.14 452107.218 0, 81515.641 452109.757 0))"
pand.4278724,606100000014104,1988,Sloopvergunning verleend,industriefunctie,204,204,1,"POLYGON Z ((86597.962 435042.582 0, 86597.053 435051.445 0, 86608.798 435052.651 0, 86609.70699999999 435043.787 0, 86597.962 435042.582 0))"
pand.9534195,599100000667299,1981,Sloopvergunning verleend,"industriefunctie, woonfunctie",23,1436,38,"POLYGON Z ((68616.33 444187.43 0, 68628.89 444177.32 0, 68627.02 444174.99 0, 68638.666 444165.622 0, 68642.67 444162.401 0, 68651.50999999999 444155.29 0, 68650.13 444153.57 0, 68654.7 444149.87 0, 68651.02 444145.31 0, 68652.75 444143.91 0, 68637.94 444125.54 0, 68639.88 444123.96 0, 68637.429 444120.938 0, 68639.39999999999 444119.35 0, 68624.39 444100.71 0, 68623.292 444101.592 0, 68619.68700000001 444104.486 0, 68617.78999999999 444106.01 0, 68631.379 444122.991 0, 68632.41 444124.28 0, 68628.518 444127.398 0, 68624.77 444130.4 0, 68627.56 444133.86 0, 68631.28999999999 444130.85 0, 68643.34 444145.78 0, 68638.14999999999 444149.97 0, 68640.67 444153.1 0, 68621.66 444168.36 0, 68621.03999999999 444167.58 0, 68618.69 444164.63 0, 68617.13 444165.87 0, 68615.92 444164.34 0, 68610.39999999999 444163.73 0, 68608.89 444164.97 0, 68607.58 444163.36 0, 68604.53 444165.86 0, 68603.83 444166.42 0, 68596.83 444157.71 0, 68600.337 444154.897 0, 68600.57000000001 444154.71 0, 68597.78999999999 444151.24 0, 68594.11 444154.28 0, 68591.75 444151.34 0, 68584.98 444156.764 0, 68585.391 444157.269 0, 68597.21000000001 444171.76 0, 68594.87 444173.64 0, 68604.98 444186.21 0, 68606.67999999999 444184.83 0, 68610.37 444189.37 0, 68614.92 444185.69 0, 68616.33 444187.43 0))"
pand.9534215,599100000667412,1961,Sloopvergunning verleend,bijeenkomstfunctie,211,211,1,"POLYGON Z ((69808.46000000001 440746.47 0, 69814.22 440753.48 0, 69808.3 440758.51 0, 69807.42 440757.48 0, 69804.14 440760.22 0, 69804.98 440761.26 0, 69802.22 440763.57 0, 69800.62 440761.8 0, 69800.32000000001 440762.06 0, 69804.87 440767.17 0, 69807.62 440767.31 0, 69812.12 440763.56 0, 69813.62 440765.28 0, 69816.87 440762.51 0, 69815.25 440760.56 0, 69818.10000000001 440758.21 0, 69818.39999999999 440758.5 0, 69823.11 440754.55 0, 69823.38 440751.52 0, 69816.03999999999 440742.86 0, 69812.89999999999 440742.62 0, 69808.46000000001 440746.47 0))"
